"Customweb_BNPMercanetCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_BNPMercanetCw::Default Config","Default Configuration"
"Customweb_BNPMercanetCw::Deferred","Deferred"
"Customweb_BNPMercanetCw::Deferred (authorization)","Deferred (authorisation)"
"Customweb_BNPMercanetCw::Deferred capturing","Deferred capturing"
"Customweb_BNPMercanetCw::Deferred settlement","Deferred settlement"
"Customweb_BNPMercanetCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_BNPMercanetCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_BNPMercanetCw::Delayed","Deferred"
"Customweb_BNPMercanetCw::Delete","Delete"
"Customweb_BNPMercanetCw::Delivery address","Delivery address"
"Customweb_BNPMercanetCw::Description","Description"
"Customweb_BNPMercanetCw::Diners Club","Diners Club"
"Customweb_BNPMercanetCw::Direct Debits","Direct Debits (ELV)"
"Customweb_BNPMercanetCw::Direct E-Banking","Direct E-Banking"
"Customweb_BNPMercanetCw::Direct capture after order","Direct capturing"
"Customweb_BNPMercanetCw::Directly after order","Direct capturing"
"Customweb_BNPMercanetCw::Directly after order (sale)","Direct capturing"
"Customweb_BNPMercanetCw::Disabled","Deactivated"
"Customweb_BNPMercanetCw::Discount","Discount"
"Customweb_BNPMercanetCw::Discount Amount","Discount Amount"
"Customweb_BNPMercanetCw::Do not by pass 3D secure","Do not bypass 3D secure"
"Customweb_BNPMercanetCw::Don't change order status","Don't change order status"
"Customweb_BNPMercanetCw::During authorization","During the authorisation"
"Customweb_BNPMercanetCw::During the checkou a 3D secure authentication may be done. With this setting you can by control, if this authorization should be done or not. You may have a higher fraud ration without 3D secure.","During the checkout a 3D secure authentication may be done. With this setting you can by control, if this authorization should be done or not. You may have a higher fraud risk without 3D secure."
"Customweb_BNPMercanetCw::ECard","ECard"
"Customweb_BNPMercanetCw::Edit","Edit"
"Customweb_BNPMercanetCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_BNPMercanetCw::Email Address","Email Address"
